sitetag,Site,yr,TagNo,DBH,surv,lags,resurveyarea,newplt
MSC1490,MSC,2003,1490,NA,1,1,1,0
MSC1491,MSC,2003,1491,NA,1,1,1,0
MSC1492,MSC,2003,1492,NA,1,1,1,0
MSC1495,MSC,2003,1495,NA,1,1,1,0
MSC1496,MSC,2003,1496,NA,1,1,1,0
MSC1499,MSC,2003,1499,NA,1,1,1,0
MSC1515,MSC,2004,1515,NA,1,1,1,0
MSC1535,MSC,2004,1535,NA,1,1,1,0
MSC1537,MSC,2004,1537,NA,1,1,1,0
MSC1543,MSC,2004,1543,NA,1,1,1,0
MSC1544,MSC,2004,1544,NA,1,1,1,0
MSC1710b,MSC,2013,1710b,NA,1,2,1,0
MSC1717b,MSC,2013,1717b,NA,1,2,1,0
MSC1719b,MSC,2015,1719b,NA,1,1,1,0
MSC1720b,MSC,2015,1720b,NA,1,1,1,0
MSC1740a,MSC,2009,1740a,NA,1,2,1,0
MSC1886,MSC,2016,1886,NA,1,1,0,0
MSC1889,MSC,2014,1889,NA,1,1,0,0
MSC1890,MSC,2007,1890,NA,1,3,0,0
MSC1894,MSC,2011,1894,NA,1,2,0,0
MSC1897,MSC,2016,1897,NA,1,1,0,0
MSC1897,MSC,2017,1897,NA,1,1,0,0
MSC1900,MSC,2013,1900,NA,1,2,0,0
MSC1927,MSC,2011,1927,NA,1,1,0,0
MSC1973,MSC,2003,1973,NA,1,1,1,0
MSC1974,MSC,2003,1974,NA,1,1,1,0
MSC1975,MSC,2003,1975,NA,1,1,1,0
MSC1976,MSC,2003,1976,NA,1,1,1,0
MSC1980,MSC,2004,1980,NA,1,1,1,0
MSC1983,MSC,2003,1983,NA,1,1,1,0
MSC1984,MSC,2003,1984,NA,1,1,1,0
MSC1986,MSC,2007,1986,NA,1,3,1,0
MSC1991,MSC,2003,1991,NA,1,1,1,0
MSC1993,MSC,2003,1993,NA,1,1,1,0
MSC1NA,MSC,2003,1NA,NA,1,1,1,0
MSC4064,MSC,2016,4064,NA,1,1,1,0
MSC4088,MSC,2014,4088,NA,1,1,1,0
MSC4602,MSC,2007,4602,NA,1,2,0,0
MSC4602,MSC,2010,4602,NA,1,3,0,0
MSC4604,MSC,2011,4604,NA,1,1,0,0
MSC4609,MSC,2011,4609,NA,1,1,0,0
MSC4612,MSC,2017,4612,NA,1,1,0,0
MSC4643,MSC,2014,4643,NA,1,1,0,0
MSC4652,MSC,2009,4652,NA,1,2,1,0
MSC4936,MSC,2007,4936,NA,1,2,1,0
MSC4963,MSC,2007,4963,NA,1,2,1,0
OP121,OP,2015,121,NA,1,1,1,0
OP1667,OP,2006,1667,NA,1,1,1,0
OP283,OP,2013,283,NA,1,2,1,0
OP297,OP,2003,297,NA,1,1,1,0
OP297,OP,2005,297,NA,1,2,1,0
OP4073,OP,2014,4073,NA,1,1,1,0
OP4186,OP,2015,4186,NA,1,1,0,0
OP88,OP,2005,88,NA,1,2,1,0
SSC203,SSC,2013,203,NA,1,2,1,0
SSC351,SSC,2015,351,NA,1,1,1,0
SSC450,SSC,2014,450,NA,1,1,1,0
SSC4535,SSC,2015,4535,NA,1,1,0,0
SSC782,SSC,2003,782,NA,1,1,1,0
