sitetag,Site,yr,TagNo,DBH,surv,lags,resurveyarea,newplt
MSC1202,MSC,2002,1202,0.320086648286726,1,0,1,0
MSC1202,MSC,2003,1202,NA,1,1,1,0
MSC1202,MSC,2004,1202,NA,0,1,1,0
MSC1204,MSC,2002,1204,0.219732178022843,1,0,1,1
MSC1204,MSC,2003,1204,NA,1,1,1,0
MSC1204,MSC,2004,1204,NA,0,1,1,0
MSC1209,MSC,2002,1209,0.320086648286726,1,0,1,0
MSC1209,MSC,2003,1209,NA,1,1,1,0
MSC1209,MSC,2004,1209,NA,0,1,1,0
MSC1218,MSC,2002,1218,0.320086648286726,1,0,1,0
MSC1218,MSC,2003,1218,NA,1,1,1,0
MSC1218,MSC,2004,1218,NA,0,1,1,0
MSC1221,MSC,2002,1221,0.320086648286726,1,0,1,0
MSC1221,MSC,2003,1221,NA,1,1,1,0
MSC1221,MSC,2004,1221,NA,0,1,1,0
MSC1224,MSC,2002,1224,0.169554942890901,1,0,1,1
MSC1224,MSC,2003,1224,NA,1,1,1,0
MSC1224,MSC,2004,1224,NA,0,1,1,0
MSC1225,MSC,2002,1225,0.219732178022843,1,0,1,1
MSC1225,MSC,2003,1225,NA,1,1,1,0
MSC1225,MSC,2004,1225,NA,0,1,1,0
MSC1226,MSC,2002,1226,0.169554942890901,1,0,1,1
MSC1226,MSC,2003,1226,NA,1,1,1,0
MSC1226,MSC,2004,1226,NA,0,1,1,0
MSC1227,MSC,2002,1227,0.169554942890901,1,0,1,1
MSC1227,MSC,2003,1227,NA,1,1,1,0
MSC1227,MSC,2004,1227,NA,0,1,1,0
MSC1228,MSC,2002,1228,0.219732178022843,1,0,1,1
MSC1228,MSC,2003,1228,NA,1,1,1,0
MSC1228,MSC,2004,1228,NA,0,1,1,0
MSC1229,MSC,2002,1229,0.470618353682551,1,0,1,0
MSC1229,MSC,2003,1229,NA,1,1,1,0
MSC1229,MSC,2004,1229,NA,0,1,1,0
MSC1230,MSC,2002,1230,0.42044111855061,1,0,1,0
MSC1230,MSC,2003,1230,0.520795588814493,1,1,1,0
MSC1230,MSC,2004,1230,0.570972823946435,1,1,1,0
MSC1230,MSC,2005,1230,NA,NA,0,1,0
MSC1230,MSC,2006,1230,NA,NA,0,1,0
MSC1230,MSC,2007,1230,1.07274517526585,1,3,1,0
MSC1230,MSC,2008,1230,NA,NA,0,1,0
MSC1230,MSC,2009,1230,NA,NA,0,1,0
MSC1230,MSC,2010,1230,1.2,1,3,1,0
MSC1230,MSC,2011,1230,NA,1,1,1,0
MSC1230,MSC,2012,1230,NA,NA,0,1,0
MSC1230,MSC,2013,1230,NA,0,2,1,0
MSC1231,MSC,2002,1231,0.370263883418668,1,0,1,0
MSC1231,MSC,2003,1231,NA,1,1,1,0
MSC1231,MSC,2004,1231,0.671327294210318,1,1,1,0
MSC1231,MSC,2005,1231,NA,NA,0,1,0
MSC1231,MSC,2006,1231,NA,NA,0,1,0
MSC1231,MSC,2007,1231,0.621150059078376,1,3,1,0
MSC1231,MSC,2008,1231,NA,NA,0,1,0
MSC1231,MSC,2009,1231,NA,NA,0,1,0
MSC1231,MSC,2010,1231,0.621150059078376,0,3,1,0
MSC1232,MSC,2002,1232,0.370263883418668,1,0,1,0
MSC1232,MSC,2003,1232,NA,1,1,1,0
MSC1232,MSC,2004,1232,NA,0,1,1,0
MSC1233,MSC,2002,1233,0.320086648286726,1,0,1,0
MSC1233,MSC,2003,1233,NA,1,1,1,0
MSC1233,MSC,2004,1233,NA,0,1,1,0
MSC1234,MSC,2002,1234,0.269909413154784,1,0,1,0
MSC1234,MSC,2003,1234,NA,1,1,1,0
MSC1234,MSC,2004,1234,NA,0,1,1,0
MSC1235,MSC,2002,1235,0.169554942890901,1,0,1,1
MSC1235,MSC,2003,1235,NA,1,1,1,0
MSC1235,MSC,2004,1235,NA,0,1,1,0
MSC1236,MSC,2002,1236,0.269909413154784,1,0,1,0
MSC1236,MSC,2003,1236,NA,1,1,1,0
MSC1236,MSC,2004,1236,NA,0,1,1,0
MSC1237,MSC,2002,1237,0.219732178022843,1,0,1,0
MSC1237,MSC,2003,1237,NA,1,1,1,0
MSC1237,MSC,2004,1237,NA,0,1,1,0
MSC1239,MSC,2002,1239,0.320086648286726,1,0,1,0
MSC1239,MSC,2003,1239,NA,1,1,1,0
MSC1239,MSC,2004,1239,NA,0,1,1,0
MSC1241,MSC,2002,1241,0.520795588814493,1,0,1,0
